run_id,dataset,method,noise,seed,found_eq,r2,time_s,status
bacon3_S-1_N0.0_S42,S-1,bacon3,0.0,42,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.0_S43,S-1,bacon3,0.0,43,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.0_S44,S-1,bacon3,0.0,44,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.0_S45,S-1,bacon3,0.0,45,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.0_S46,S-1,bacon3,0.0,46,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.0_S47,S-1,bacon3,0.0,47,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.0_S48,S-1,bacon3,0.0,48,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.0_S49,S-1,bacon3,0.0,49,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.0_S50,S-1,bacon3,0.0,50,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.0_S51,S-1,bacon3,0.0,51,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon7_S-1_N0.0_S42,S-1,bacon7,0.0,42,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.0_S43,S-1,bacon7,0.0,43,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.0_S44,S-1,bacon7,0.0,44,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.0_S45,S-1,bacon7,0.0,45,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.0_S46,S-1,bacon7,0.0,46,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.0_S47,S-1,bacon7,0.0,47,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.0_S48,S-1,bacon7,0.0,48,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.0_S49,S-1,bacon7,0.0,49,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.0_S50,S-1,bacon7,0.0,50,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.0_S51,S-1,bacon7,0.0,51,No law found,0.0000,0.00,Failed
bacon3_S-1_N0.01_S42,S-1,bacon3,0.01,42,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.01_S43,S-1,bacon3,0.01,43,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.01_S44,S-1,bacon3,0.01,44,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.01_S45,S-1,bacon3,0.01,45,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.01_S46,S-1,bacon3,0.01,46,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.01_S47,S-1,bacon3,0.01,47,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.01_S48,S-1,bacon3,0.01,48,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.01_S49,S-1,bacon3,0.01,49,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.01_S50,S-1,bacon3,0.01,50,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.01_S51,S-1,bacon3,0.01,51,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon7_S-1_N0.01_S42,S-1,bacon7,0.01,42,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.01_S43,S-1,bacon7,0.01,43,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.01_S44,S-1,bacon7,0.01,44,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.01_S45,S-1,bacon7,0.01,45,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.01_S46,S-1,bacon7,0.01,46,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.01_S47,S-1,bacon7,0.01,47,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.01_S48,S-1,bacon7,0.01,48,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.01_S49,S-1,bacon7,0.01,49,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.01_S50,S-1,bacon7,0.01,50,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.01_S51,S-1,bacon7,0.01,51,No law found,0.0000,0.00,Failed
bacon3_S-1_N0.02_S42,S-1,bacon3,0.02,42,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.02_S43,S-1,bacon3,0.02,43,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.02_S44,S-1,bacon3,0.02,44,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.02_S45,S-1,bacon3,0.02,45,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.02_S46,S-1,bacon3,0.02,46,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.02_S47,S-1,bacon3,0.02,47,Failed to find a simple closing relation.,0.0000,0.00,Failed
